,State,Total Offenses,Animal Cruelty,Drug/Narcotic Offenses,Gambling Offenses,Pornography/Obscene Material,Prostitution Offenses,Weapon Law Violations,Assault Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Sex Offenses,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism,Embezzlement,Extortion/Blackmail,Fraud Offenses,Larceny/Theft Offenses,Motor Vehicle Theft,Robbery,Stolen Property Offenses
0,Total,13166782,20512,1459460,2121,39871,13007,325998,3187575,18785,2691,43083,204055,30166,652,672139,147573,1497908,32481,20298,843491,3618452,721157,149862,115445
1,Alabama,257148,607,43361,25,668,77,5157,73898,482,36,338,1900,666,13,12056,3758,27607,253,227,13141,60400,8757,1513,2208
2,Alaska,16944,27,1325,1,39,15,457,5826,45,9,41,760,64,0,760,171,2404,22,37,721,3452,637,99,32
3,Arizona,231651,510,39724,1,1039,369,4333,53000,293,82,794,3949,480,9,10138,1500,25121,398,500,17039,61878,7667,1387,1440
4,Arkansas,218559,81,30507,13,534,68,3280,60242,337,10,652,3117,490,3,13732,4301,25089,60,92,9954,54872,7436,1208,2481
5,California,871864,645,117419,59,1654,871,23513,165486,762,127,4847,12857,3360,14,52995,9472,90274,1988,1084,61519,227300,65460,14283,15875
6,Colorado,393989,760,27236,4,1204,239,8062,63021,448,64,2250,6536,1385,59,22374,3245,59165,305,1067,23231,119556,45599,4320,3859
7,Connecticut,130095,127,6182,9,294,38,3865,29074,168,11,335,1830,192,7,4645,1912,16319,178,264,11867,43041,7009,1630,1098
8,Delaware,68489,1370,9205,28,89,28,2336,15790,71,5,182,530,111,0,2132,550,8941,115,104,7265,16794,1658,584,601
9,District of Columbia,72403,16,1643,5,45,14,3948,20235,197,0,48,716,6,5,1376,292,13584,4,69,4485,19002,3907,2404,402
10,Florida,241525,255,23805,12,318,362,5902,70914,394,58,138,2540,246,2,8632,2646,20675,746,256,14820,77091,8361,2780,572
11,Georgia,455551,1058,45111,28,1299,336,8272,122238,886,259,2417,8675,712,8,19996,7435,44247,560,533,38688,124775,19699,4217,4102
12,Hawaii,56778,93,3213,209,82,5,625,12829,35,9,206,791,359,2,3145,453,2079,45,159,4109,22110,4621,887,712
13,Idaho,79654,94,26490,1,351,34,1268,16597,56,36,256,2128,150,5,3003,723,6833,233,159,5485,13436,1734,160,422
14,Illinois,510823,221,21727,3,1096,187,10859,155025,924,30,1138,6528,821,6,20294,4473,81323,153,441,39292,122857,31339,11258,828
15,Indiana,247211,563,40632,204,845,94,5807,66875,483,69,1775,4827,636,18,12344,2132,7084,919,248,18373,67178,11678,2777,1650
16,Iowa,116327,218,20574,9,343,43,1978,26733,66,24,235,2082,254,28,6355,2179,13251,239,209,6842,29204,4285,621,555
17,Kansas,175196,1,28843,14,543,143,2935,41377,146,0,1433,2745,453,2,6578,2719,25320,615,486,12192,40300,6204,797,1350
18,Kentucky,186329,288,37762,6,722,45,2896,39877,343,31,1124,3235,348,49,10519,2307,18024,1384,128,6235,46499,9486,1654,3367
19,Louisiana,232161,410,35014,41,873,143,8202,57358,390,19,678,2434,293,11,16487,2723,22464,1170,340,6684,63632,8128,1577,3090
20,Maine,43954,48,3688,3,151,38,349,12059,54,3,39,901,160,5,1583,479,5758,40,69,2725,14562,980,141,119
21,Maryland,228407,506,21399,1,602,113,4322,56010,502,69,117,3164,323,3,9647,2376,28369,458,307,19821,61563,11711,6248,776
22,Massachusetts,226686,193,8553,61,945,268,4327,69888,159,45,543,4243,373,22,9989,3357,29056,458,719,21808,60288,6986,2647,1758
23,Michigan,461238,897,25763,35,1248,625,15194,151275,811,49,834,11562,1305,18,20657,3068,47126,2096,919,36810,105229,26155,3667,5895
24,Minnesota,263053,338,27348,13,1060,114,6766,43792,252,102,584,4919,628,7,12166,3866,31479,313,374,19258,84856,16534,3266,5018
25,Mississippi,88621,235,16091,1,168,11,1996,22172,148,9,153,964,175,5,5681,1010,8624,860,94,4538,21510,2898,433,845
26,Missouri,367190,477,50732,147,892,175,10220,80256,726,40,868,4676,1034,17,17381,4574,44969,685,198,14204,97588,30218,3397,3716
27,Montana,54601,143,4924,7,26,23,302,13322,58,4,322,1763,144,4,2180,742,7534,87,8,2042,17725,2509,266,466
28,Nebraska,71236,85,14244,0,295,25,1300,15871,49,14,162,1549,207,10,2220,1143,10306,138,278,4709,15986,2021,240,384
29,Nevada,216218,298,19292,82,406,2370,5885,61511,245,199,827,3871,424,16,13886,1738,22881,1402,300,10883,48477,15654,2748,2823
30,New Hampshire,51069,233,5380,4,809,20,689,13400,40,13,218,1777,123,5,960,719,7485,97,230,4993,12182,902,221,569
31,New Jersey,179532,114,8103,7,164,175,3829,40919,171,8,257,2384,246,5,8111,2893,16979,359,681,19008,61952,9341,2573,1253
32,New Mexico,151938,108,8057,0,224,43,4593,36610,229,20,968,2045,323,33,11159,951,24230,765,227,8287,38343,10859,2245,1619
33,New York,177469,2,5110,13,289,27,4033,47124,201,3,652,2107,501,8,7875,1764,31264,39,244,7224,58611,6324,2392,1662
34,North Carolina,607819,661,88992,102,2164,212,20773,139683,919,75,1710,7031,1450,15,36551,5147,61472,2479,1307,44794,160189,20366,5774,5953
35,North Dakota,50491,142,12050,1,307,47,679,11127,45,6,153,1086,97,7,2600,653,4396,103,129,2920,11109,1994,217,623
36,Ohio,542663,382,58536,13,1731,513,12633,151500,710,33,2095,9207,1091,14,27901,4137,66437,157,748,22944,144278,26339,6146,5118
37,Oklahoma,245828,523,27576,3,1235,223,5204,60354,328,15,734,4739,775,6,19172,3418,22075,1879,495,16549,63269,12736,1649,2871
38,Oregon,241277,452,6507,2,533,203,5655,37219,244,38,473,3741,1229,10,14587,2923,37726,239,264,15236,86671,22816,2865,1644
39,Pennsylvania,263456,437,23348,115,1150,297,8912,61606,767,23,271,5148,800,4,9984,2018,30924,980,459,22722,71539,14367,6237,1348
40,Rhode Island,37660,61,1966,8,254,6,872,8560,18,3,39,714,85,3,1448,547,6011,129,129,3357,11083,1717,268,382
41,South Carolina,348762,479,48875,57,1136,107,10840,90929,641,35,906,3849,632,7,17643,4269,33835,892,407,23020,91615,12726,2133,3729
42,South Dakota,48711,48,9973,6,247,43,950,12497,67,5,144,1099,67,3,2021,528,4586,221,32,1762,11746,2114,230,322
43,Tennessee,494831,635,80538,58,1086,505,15532,134516,688,87,1904,6009,878,19,21927,5608,45783,1972,890,26867,116528,25562,4755,2484
44,Texas,1694625,3426,179836,642,5123,2723,35876,437755,2369,596,3459,23246,2921,101,94689,23210,164470,3093,1127,88929,496659,98026,21219,5130
45,Utah,190600,135,40761,6,622,90,4353,32918,85,38,1166,5290,273,11,6331,1537,22839,73,493,13479,50492,6631,977,2000
46,Vermont,21387,60,1056,1,70,4,90,3791,27,1,88,317,40,0,1004,310,2681,59,22,1436,9408,595,88,239
47,Virginia,413663,1247,32421,34,2252,349,15124,100568,732,80,1905,6182,637,30,10886,4573,49759,1897,1344,40309,124772,13673,3353,1536
48,Washington,509175,350,9162,20,622,220,6684,82011,454,59,1454,5807,1526,17,42473,3793,85757,260,845,23032,179545,49693,6785,8606
49,West Virginia,52268,30,8814,0,497,51,1117,12453,92,20,122,1126,176,1,2894,651,5054,112,31,2299,14630,1383,168,547
50,Wisconsin,238969,334,47086,7,1392,264,13060,43989,401,107,962,4856,461,2,8163,2365,25753,731,443,14572,57313,13033,2326,1349
51,Wyoming,20688,89,3506,0,133,12,144,5495,27,13,67,503,36,3,809,215,2486,21,82,1012,5357,629,32,17
