State,NÂº of Agencies,Population covered,Total Offenses,Assault Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Sex Offenses
Total,13293,256187698,3456189,3187575,18785,2691,43083,204055
Alabama,404,4519862,76654,73898,482,36,338,1900
Alaska,32,444412,6681,5826,45,9,41,760
Arizona,89,4571670,58118,53000,293,82,794,3949
Arkansas,294,2986257,64358,60242,337,10,652,3117
California,559,20450698,184079,165486,762,127,4847,12857
Colorado,234,5825547,72319,63021,448,64,2250,6536
Connecticut,107,3626205,31418,29074,168,11,335,1830
Delaware,63,1018396,16578,15790,71,5,182,530
District of Columbia,2,671803,21196,20235,197,0,48,716
Florida,73,7025392,74044,70914,394,58,138,2540
Georgia,454,9959008,134475,122238,886,259,2417,8675
Hawaii,3,1233842,13870,12829,35,9,206,791
Idaho,111,1938529,19073,16597,56,36,256,2128
Illinois,520,10010597,163645,155025,924,30,1138,6528
Indiana,209,5603871,74029,66875,483,69,1775,4827
Iowa,228,2968878,29140,26733,66,24,235,2082
Kansas,327,2675833,45701,41377,146,0,1433,2745
Kentucky,431,4509571,44610,39877,343,31,1124,3235
Louisiana,148,3428406,60879,57358,390,19,678,2434
Maine,131,1384006,13056,12059,54,3,39,901
Maryland,95,4898180,59862,56010,502,69,117,3164
Massachusetts,384,6947897,74878,69888,159,45,543,4243
Michigan,603,9616858,164531,151275,811,49,834,11562
Minnesota,408,5711489,49649,43792,252,102,584,4919
Mississippi,152,1791767,23446,22172,148,9,153,964
Missouri,498,6077481,86566,80256,726,40,868,4676
Montana,110,1121153,15469,13322,58,4,322,1763
Nebraska,261,1459853,17645,15871,49,14,162,1549
Nevada,55,3162409,66653,61511,245,199,827,3871
New Hampshire,213,1378928,15448,13400,40,13,218,1777
New Jersey,309,5630105,43739,40919,171,8,257,2384
New Mexico,95,1813146,39872,36610,229,20,968,2045
New York,149,4587827,50087,47124,201,3,652,2107
North Carolina,407,10235931,149418,139683,919,75,1710,7031
North Dakota,111,779261,12417,11127,45,6,153,1086
Ohio,637,10916774,163545,151500,710,33,2095,9207
Oklahoma,461,4019800,66170,60354,328,15,734,4739
Oregon,212,4079739,41715,37219,244,38,473,3741
Pennsylvania,132,5229066,67815,61606,767,23,271,5148
Rhode Island,48,1092311,9334,8560,18,3,39,714
South Carolina,462,5271145,96360,90929,641,35,906,3849
South Dakota,107,830169,13812,12497,67,5,144,1099
Tennessee,399,7047629,143204,134516,688,87,1904,6009
Texas,1063,29643845,467425,437755,2369,596,3459,23246
Utah,135,3325856,39497,32918,85,38,1166,5290
Vermont,86,647064,4224,3791,27,1,88,317
Virginia,410,8682813,109467,100568,732,80,1905,6182
Washington,246,7730372,89785,82011,454,59,1454,5807
West Virginia,214,1541815,13813,12453,92,20,122,1126
Wisconsin,362,5610301,50315,43989,401,107,962,4856
Wyoming,50,453931,6105,5495,27,13,67,503
